time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
733539,6.24313310,-75.55687620,30,0.00000,0.00000,0,0
734533,6.24313110,-75.55729290,34,1580.40002,0.00000,0,0
735532,6.24313110,-75.55729290,34,1580.40002,0.00000,0,0
736531,6.24313110,-75.55729290,34,1580.40002,0.00000,0,0
737582,6.24313110,-75.55729290,34,1580.40002,0.00000,0,0
738580,6.24313110,-75.55729290,34,1580.40002,0.00000,0,0
739581,6.24323210,-75.55746190,29,0.00000,0.00000,0,0
740631,6.24323210,-75.55746190,29,0.00000,0.00000,0,0
741680,6.24323210,-75.55746190,29,0.00000,0.00000,0,0
742679,6.24323210,-75.55746190,29,0.00000,0.00000,0,0
743727,6.24340160,-75.55770090,36,0.00000,0.00000,0,0
744728,6.24340160,-75.55770090,36,0.00000,0.00000,0,0
745732,6.24340160,-75.55770090,36,0.00000,0.00000,0,0
746731,6.24340160,-75.55770090,36,0.00000,0.00000,0,0
747728,6.24340160,-75.55770090,36,0.00000,0.00000,0,0
748729,6.24340160,-75.55770090,36,0.00000,0.00000,0,0
749782,6.24340160,-75.55770090,36,0.00000,0.00000,0,0
750781,6.24359820,-75.55800940,35,0.00000,0.00000,0,0
751830,6.24359820,-75.55800940,35,0.00000,0.00000,0,0
752830,6.24359820,-75.55800940,35,0.00000,0.00000,0,0
753830,6.24359820,-75.55800940,35,0.00000,0.00000,0,0
754830,6.24385560,-75.55866190,35,0.00000,0.00000,0,0
755830,6.24385560,-75.55866190,35,0.00000,0.00000,0,0
756832,6.24385560,-75.55866190,35,0.00000,0.00000,0,0
757884,6.24385560,-75.55866190,35,0.00000,0.00000,0,0
758883,6.24385560,-75.55866190,35,0.00000,0.00000,0,0
759881,6.24364620,-75.55896570,64,0.00000,0.00000,0,0
760881,6.24364620,-75.55896570,64,0.00000,0.00000,0,0
761883,6.24364620,-75.55896570,64,0.00000,0.00000,0,0
762880,6.24364620,-75.55896570,64,0.00000,0.00000,0,0
763893,6.24364620,-75.55896570,64,0.00000,0.00000,0,0
764882,6.24384980,-75.55893600,120,0.00000,0.00000,0,0
765882,6.24384980,-75.55893600,120,0.00000,0.00000,0,0
766930,6.24384980,-75.55893600,120,0.00000,0.00000,0,0
767986,6.24384980,-75.55893600,120,0.00000,0.00000,0,0
769031,6.24384980,-75.55893600,120,0.00000,0.00000,0,0
770031,6.24392800,-75.55882450,44,0.00000,0.00000,0,0
771081,6.24392800,-75.55882450,44,0.00000,0.00000,0,0
772082,6.24392800,-75.55882450,44,0.00000,0.00000,0,0
773131,6.24392800,-75.55882450,44,0.00000,0.00000,0,0
774134,6.24403520,-75.55881190,47,0.00000,0.00000,0,0
775181,6.24403520,-75.55881190,47,0.00000,0.00000,0,0
776230,6.24403520,-75.55881190,47,0.00000,0.00000,0,0
777230,6.24403520,-75.55881190,47,0.00000,0.00000,0,0
778230,6.24403520,-75.55881190,47,0.00000,0.00000,0,0
779233,6.24434890,-75.55886450,61,0.00000,0.00000,0,0
780230,6.24434890,-75.55886450,61,0.00000,0.00000,0,0
781230,6.24434890,-75.55886450,61,0.00000,0.00000,0,0
782231,6.24434890,-75.55886450,61,0.00000,0.00000,0,0
783280,6.24434890,-75.55886450,61,0.00000,0.00000,0,0
784284,6.24400160,-75.55891430,33,0.00000,0.00000,0,0
785281,6.24400160,-75.55891430,33,0.00000,0.00000,0,0
786279,6.24400160,-75.55891430,33,0.00000,0.00000,0,0
787281,6.24400160,-75.55891430,33,0.00000,0.00000,0,0
788326,6.24400160,-75.55891430,33,0.00000,0.00000,0,0
789331,6.24394220,-75.55881420,89,0.00000,0.00000,0,0
790381,6.24394220,-75.55881420,89,0.00000,0.00000,0,0
791381,6.24394220,-75.55881420,89,0.00000,0.00000,0,0
792380,6.24394220,-75.55881420,89,0.00000,0.00000,0,0
793382,6.24394220,-75.55881420,89,0.00000,0.00000,0,0
